Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison
NM_033031	12.220534128674643	-2.195868163254984	1.112852696946605	-1.973188517473973	0.04847408820966419	0.9996103688959613	2_vs_1
NM_001146257	0.24325007740297233	2.3880319425349685	5.264634296700489	0.45359882718380323	0.6501175977941263	0.9996103688959613	2_vs_1
NM_014467	0.6263697131300022	0.1856930736076683	5.670676855613464	0.03274619209236879	0.9738769876625372	0.9996103688959613	2_vs_1
NM_000351	2034.8394997978928	0.027877489870672647	0.43976606241830135	0.06339163535579023	0.9494546478752809	0.9996103688959613	2_vs_1
NM_006125	6.208919924069147	-0.5840541305079627	1.5076070516882438	-0.38740474837520106	0.6984565890386787	0.9996103688959613	2_vs_1
NM_014728	1.2127006847445545	-0.5840592133212229	3.5084788316554625	-0.16647078159671747	0.8677864752259631	0.9996103688959613	2_vs_1
NR_109776	0.26108172549402897	-2.274438402724985	5.24666637174921	-0.4335016259032113	0.6646503851412191	0.9996103688959613	2_vs_1
NM_001171942	0.13054086274701449	-1.2707266181228496	5.344242256148473	-0.23777489066123403	0.8120556945547094	0.9996103688959613	2_vs_1
NM_198279	415.0426003811511	-0.3348161167039941	0.38047952799699836	-0.8799845775319494	0.378867664392021	0.9996103688959613	2_vs_1
NM_033215	28.307659404484458	3.4083926477799666	1.2355306327845763	2.7586468172774508	0.005804122647945904	0.9996103688959613	2_vs_1
NM_012278	5.3941607181382025	-0.0033855476126693667	1.5946891112659134	-0.002123014190510033	0.9983060810274956	0.9996103688959613	2_vs_1
NM_006517	1.36707973143234	0.9558852669560839	3.9302664667793636	0.2432113127788455	0.8078417036093861	0.9996103688959613	2_vs_1
NM_002547	2.4906218642241558	-2.4078292774626737	2.6807995153211133	-0.8981758105004201	0.3690918273273286	0.9996103688959613	2_vs_1
NM_153252	1977.4073248828545	-0.5660116413007713	0.2911572192265762	-1.9440068936099628	0.05189461980502628	0.9996103688959613	2_vs_1
NM_000489	8.054183550724852	-1.067446799811406	1.3043995202687804	-0.818343447099284	0.41316110403648176	0.9996103688959613	2_vs_1
NM_000390	1023.7830391285578	-0.15959673157719323	0.28682749419024745	-0.5564206180016189	0.5779233473288612	0.9996103688959613	2_vs_1
NM_001145414	70.51497148788305	0.6215955143993451	0.5399400761245446	1.151230556658968	0.24963739735888713	0.9996103688959613	2_vs_1
NM_006729	62.41333050133727	-0.6635067658463566	0.5551370806021662	-1.19521247819843	0.23200402447459756	0.9996103688959613	2_vs_1
NR_024608	16.117390773466028	0.8478843371124591	1.0242467474577226	0.8278125746720587	0.40777665218378434	0.9996103688959613	2_vs_1
NM_198465	0.24325007740297233	2.3880319425349685	5.264634296700489	0.45359882718380323	0.6501175977941263	0.9996103688959613	2_vs_1
NM_017416	0.37583490219787924	-0.8701376875658842	4.9072409391353675	-0.1773170908781989	0.8592593269252651	0.9996103688959613	2_vs_1
NM_017698	0.8364829914821722	2.429588480569984	4.828738440686323	0.503151808782722	0.6148575437164129	0.9996103688959613	2_vs_1
NM_032227	68.05763610127225	-0.6738358065814662	0.7128452451092591	-0.9452764273936991	0.3445177696954971	0.9996103688959613	2_vs_1
NM_002578	0.3737909401499868	0.9315846865039606	4.9112801692602845	0.18968265999866019	0.8495578094379974	0.9996103688959613	2_vs_1
NM_001081550	4601.69768500137	-0.47435266457212977	0.3384357407282768	-1.4016033399763703	0.16103372907347246	0.9996103688959613	2_vs_1
NM_001184772	17.48615964374176	0.4107415865895608	1.179042578865876	0.3483687476194915	0.7275632700684904	0.9996103688959613	2_vs_1
